Flight #,Angle,Height,Temp,Waveform
1.000,0.000,150.000,21.747,0.000
2.000,1.000,150.000,21.747,0.000
3.000,2.000,150.000,21.750,0.000
4.000,3.000,150.000,21.747,0.000
5.000,4.000,150.000,21.758,0.000
6.000,5.000,150.000,21.758,0.000
7.000,6.000,150.000,21.758,0.000
8.000,7.000,150.000,21.758,0.000
9.000,8.000,150.000,21.695,0.000
10.000,9.000,150.000,21.695,0.000
11.000,10.000,150.000,21.758,0.000
12.000,11.000,150.000,21.698,0.000
13.000,12.000,150.000,21.758,0.000
14.000,13.000,150.000,21.698,0.000
15.000,14.000,150.000,21.766,0.000
16.000,15.000,150.000,21.761,0.000
17.000,16.000,150.000,21.695,0.000
18.000,17.000,150.000,21.758,0.000
19.000,18.000,150.000,21.764,0.000
20.000,19.000,150.000,21.756,0.000
21.000,20.000,150.000,21.753,0.000
22.000,21.000,150.000,21.690,0.000
23.000,22.000,150.000,21.756,0.000
24.000,23.000,150.000,21.756,0.000
25.000,24.000,150.000,21.756,0.000
26.000,25.000,150.000,21.761,0.000
27.000,26.000,150.000,21.758,0.000
28.000,27.000,150.000,21.764,0.000
29.000,28.000,150.000,21.764,0.000
30.000,29.000,150.000,21.764,0.000
31.000,30.000,150.000,21.766,0.000
32.000,31.000,150.000,21.766,0.000
33.000,32.000,150.000,21.764,0.000
34.000,33.000,150.000,21.761,0.000
35.000,34.000,150.000,21.764,0.000
36.000,35.000,150.000,21.764,0.000
37.000,36.000,150.000,21.758,0.000
38.000,37.000,150.000,21.766,0.000
39.000,38.000,150.000,21.761,0.000
40.000,39.000,150.000,21.761,0.000
41.000,40.000,150.000,21.761,0.000
42.000,41.000,150.000,21.764,0.000
43.000,42.000,150.000,21.764,0.000
44.000,43.000,150.000,21.695,0.000
45.000,44.000,150.000,21.756,0.000
46.000,45.000,150.000,21.758,0.000
47.000,46.000,150.000,21.753,0.000
48.000,47.000,150.000,21.753,0.000
49.000,48.000,150.000,21.690,0.000
50.000,49.000,150.000,21.756,0.000
51.000,50.000,150.000,21.764,0.000
52.000,51.000,150.000,21.758,0.000
53.000,52.000,150.000,21.761,0.000
54.000,53.000,150.000,21.761,0.000
55.000,54.000,150.000,21.758,0.000
56.000,55.000,150.000,21.766,0.000
57.000,56.000,150.000,21.766,0.000
58.000,57.000,150.000,21.761,0.000
59.000,58.000,150.000,21.761,0.000
60.000,59.000,150.000,21.756,0.000
61.000,60.000,150.000,21.764,0.000
62.000,61.000,150.000,21.764,0.000
63.000,62.000,150.000,21.698,0.000
64.000,63.000,150.000,21.764,0.000
65.000,64.000,150.000,21.766,0.000
66.000,65.000,150.000,21.764,0.000
67.000,66.000,150.000,21.764,0.000
68.000,67.000,150.000,21.761,0.000
69.000,68.000,150.000,21.764,0.000
70.000,69.000,150.000,21.766,0.000
71.000,70.000,150.000,21.766,0.000
72.000,71.000,150.000,21.766,0.000
73.000,72.000,150.000,21.766,0.000
74.000,73.000,150.000,21.764,0.000
75.000,74.000,150.000,21.764,0.000
76.000,75.000,150.000,21.769,0.000
77.000,76.000,150.000,21.764,0.000
78.000,77.000,150.000,21.766,0.000
79.000,78.000,150.000,21.761,0.000
80.000,79.000,150.000,21.769,0.000
81.000,80.000,150.000,21.766,0.000
82.000,81.000,150.000,21.764,0.000
83.000,82.000,150.000,21.764,0.000
84.000,83.000,150.000,21.766,0.000
85.000,84.000,150.000,21.766,0.000
86.000,85.000,150.000,21.761,0.000
87.000,86.000,150.000,21.761,0.000
88.000,87.000,150.000,21.761,0.000
89.000,88.000,150.000,21.764,0.000
90.000,89.000,150.000,21.761,0.000
91.000,90.000,150.000,21.761,0.000
92.000,91.000,150.000,21.758,0.000
93.000,92.000,150.000,21.753,0.000
94.000,93.000,150.000,21.756,0.000
95.000,94.000,150.000,21.753,0.000
96.000,95.000,150.000,21.756,0.000
97.000,96.000,150.000,21.758,0.000
98.000,97.000,150.000,21.756,0.000
99.000,98.000,150.000,21.761,0.000
100.000,99.000,150.000,21.758,0.000
101.000,100.000,150.000,21.758,0.000
102.000,101.000,150.000,21.764,0.000
103.000,102.000,150.000,21.764,0.000
104.000,103.000,150.000,21.761,0.000
105.000,104.000,150.000,21.769,0.000
106.000,105.000,150.000,21.764,0.000
107.000,106.000,150.000,21.769,0.000
108.000,107.000,150.000,21.766,0.000
109.000,108.000,150.000,21.769,0.000
110.000,109.000,150.000,21.769,0.000
111.000,110.000,150.000,21.766,0.000
112.000,111.000,150.000,21.772,0.000
113.000,112.000,150.000,21.769,0.000
114.000,113.000,150.000,21.772,0.000
115.000,114.000,150.000,21.772,0.000
116.000,115.000,150.000,21.769,0.000
117.000,116.000,150.000,21.764,0.000
118.000,117.000,150.000,21.750,0.000
119.000,118.000,150.000,21.758,0.000
120.000,119.000,150.000,21.758,0.000
121.000,120.000,150.000,21.756,0.000
122.000,121.000,150.000,21.695,0.000
123.000,122.000,150.000,21.761,0.000
124.000,123.000,150.000,21.764,0.000
125.000,124.000,150.000,21.766,0.000
126.000,125.000,150.000,21.766,0.000
127.000,126.000,150.000,21.769,0.000
128.000,127.000,150.000,21.769,0.000
129.000,128.000,150.000,21.766,0.000
130.000,129.000,150.000,21.761,0.000
131.000,130.000,150.000,21.753,0.000
132.000,131.000,150.000,21.753,0.000
133.000,132.000,150.000,21.758,0.000
134.000,133.000,150.000,21.756,0.000
135.000,134.000,150.000,21.761,0.000
136.000,135.000,150.000,21.761,0.000
137.000,136.000,150.000,21.761,0.000
138.000,137.000,150.000,21.764,0.000
139.000,138.000,150.000,21.764,0.000
140.000,139.000,150.000,21.764,0.000
141.000,140.000,150.000,21.766,0.000
142.000,141.000,150.000,21.764,0.000
143.000,142.000,150.000,21.769,0.000
144.000,143.000,150.000,21.756,0.000
145.000,144.000,150.000,21.756,0.000
146.000,145.000,150.000,21.758,0.000
147.000,146.000,150.000,21.753,0.000
148.000,147.000,150.000,21.753,0.000
149.000,148.000,150.000,21.753,0.000
150.000,149.000,150.000,21.753,0.000
151.000,150.000,150.000,21.695,0.000
152.000,151.000,150.000,21.750,0.000
153.000,152.000,150.000,21.761,0.000
154.000,153.000,150.000,21.753,0.000
155.000,154.000,150.000,21.758,0.000
156.000,155.000,150.000,21.764,0.000
157.000,156.000,150.000,21.761,0.000
158.000,157.000,150.000,21.698,0.000
159.000,158.000,150.000,21.766,0.000
160.000,159.000,150.000,21.769,0.000
161.000,160.000,150.000,21.772,0.000
162.000,161.000,150.000,21.764,0.000
163.000,162.000,150.000,21.766,0.000
164.000,163.000,150.000,21.769,0.000
165.000,164.000,150.000,21.769,0.000
166.000,165.000,150.000,21.766,0.000
167.000,166.000,150.000,21.769,0.000
168.000,167.000,150.000,21.764,0.000
169.000,168.000,150.000,21.774,0.000
170.000,169.000,150.000,21.769,0.000
171.000,170.000,150.000,21.772,0.000
172.000,171.000,150.000,21.769,0.000
173.000,172.000,150.000,21.769,0.000
174.000,173.000,150.000,21.712,0.000
175.000,174.000,150.000,21.774,0.000
176.000,175.000,150.000,21.774,0.000
177.000,176.000,150.000,21.772,0.000
178.000,177.000,150.000,21.772,0.000
179.000,178.000,150.000,21.774,0.000
180.000,179.000,150.000,21.769,0.000
181.000,180.000,150.000,21.769,0.000
182.000,181.000,150.000,21.769,0.000
183.000,182.000,150.000,21.772,0.000
184.000,183.000,150.000,21.772,0.000
185.000,184.000,150.000,21.766,0.000
186.000,185.000,150.000,21.769,0.000
187.000,186.000,150.000,21.772,0.000
188.000,187.000,150.000,21.772,0.000
189.000,188.000,150.000,21.703,0.000
190.000,189.000,150.000,21.772,0.000
191.000,190.000,150.000,21.772,0.000
192.000,191.000,150.000,21.772,0.000
193.000,192.000,150.000,21.772,0.000
194.000,193.000,150.000,21.772,0.000
195.000,194.000,150.000,21.774,0.000
196.000,195.000,150.000,21.774,0.000
197.000,196.000,150.000,21.780,0.000
198.000,197.000,150.000,21.777,0.000
199.000,198.000,150.000,21.783,0.000
200.000,199.000,150.000,21.780,0.000
201.000,200.000,150.000,21.774,0.000
202.000,201.000,150.000,21.769,0.000
203.000,202.000,150.000,21.774,0.000
204.000,203.000,150.000,21.774,0.000
205.000,204.000,150.000,21.774,0.000
206.000,205.000,150.000,21.774,0.000
207.000,206.000,150.000,21.777,0.000
208.000,207.000,150.000,21.772,0.000
209.000,208.000,150.000,21.777,0.000
210.000,209.000,150.000,21.774,0.000
211.000,210.000,150.000,21.772,0.000
212.000,211.000,150.000,21.772,0.000
213.000,212.000,150.000,21.772,0.000
214.000,213.000,150.000,21.772,0.000
215.000,214.000,150.000,21.764,0.000
216.000,215.000,150.000,21.764,0.000
217.000,216.000,150.000,21.761,0.000
218.000,217.000,150.000,21.764,0.000
219.000,218.000,150.000,21.756,0.000
220.000,219.000,150.000,21.753,0.000
221.000,220.000,150.000,21.756,0.000
222.000,221.000,150.000,21.756,0.000
223.000,222.000,150.000,21.756,0.000
224.000,223.000,150.000,21.756,0.000
225.000,224.000,150.000,21.758,0.000
226.000,225.000,150.000,21.758,0.000
227.000,226.000,150.000,21.758,0.000
228.000,227.000,150.000,21.756,0.000
229.000,228.000,150.000,21.764,0.000
230.000,229.000,150.000,21.758,0.000
231.000,230.000,150.000,21.758,0.000
232.000,231.000,150.000,21.761,0.000
233.000,232.000,150.000,21.761,0.000
234.000,233.000,150.000,21.761,0.000
235.000,234.000,150.000,21.766,0.000
236.000,235.000,150.000,21.764,0.000
237.000,236.000,150.000,21.764,0.000
238.000,237.000,150.000,21.766,0.000
239.000,238.000,150.000,21.764,0.000
240.000,239.000,150.000,21.766,0.000
241.000,240.000,150.000,21.703,0.000
242.000,241.000,150.000,21.772,0.000
243.000,242.000,150.000,21.772,0.000
244.000,243.000,150.000,21.772,0.000
245.000,244.000,150.000,21.769,0.000
246.000,245.000,150.000,21.769,0.000
247.000,246.000,150.000,21.769,0.000
248.000,247.000,150.000,21.766,0.000
249.000,248.000,150.000,21.764,0.000
250.000,249.000,150.000,21.758,0.000
251.000,250.000,150.000,21.764,0.000
252.000,251.000,150.000,21.761,0.000
253.000,252.000,150.000,21.764,0.000
254.000,253.000,150.000,21.764,0.000
255.000,254.000,150.000,21.764,0.000
256.000,255.000,150.000,21.766,0.000
257.000,256.000,150.000,21.766,0.000
258.000,257.000,150.000,21.766,0.000
259.000,258.000,150.000,21.764,0.000
260.000,259.000,150.000,21.764,0.000
261.000,260.000,150.000,21.761,0.000
262.000,261.000,150.000,21.764,0.000
263.000,262.000,150.000,21.764,0.000
264.000,263.000,150.000,21.766,0.000
265.000,264.000,150.000,21.764,0.000
266.000,265.000,150.000,21.764,0.000
267.000,266.000,150.000,21.698,0.000
268.000,267.000,150.000,21.764,0.000
269.000,268.000,150.000,21.761,0.000
270.000,269.000,150.000,21.761,0.000
271.000,270.000,150.000,21.761,0.000
272.000,271.000,150.000,21.758,0.000
273.000,272.000,150.000,21.764,0.000
274.000,273.000,150.000,21.761,0.000
275.000,274.000,150.000,21.758,0.000
276.000,275.000,150.000,21.761,0.000
277.000,276.000,150.000,21.766,0.000
278.000,277.000,150.000,21.764,0.000
279.000,278.000,150.000,21.766,0.000
280.000,279.000,150.000,21.766,0.000
281.000,280.000,150.000,21.703,0.000
282.000,281.000,150.000,21.758,0.000
283.000,282.000,150.000,21.756,0.000
284.000,283.000,150.000,21.758,0.000
285.000,284.000,150.000,21.761,0.000
286.000,285.000,150.000,21.703,0.000
287.000,286.000,150.000,21.766,0.000
288.000,287.000,150.000,21.766,0.000
289.000,288.000,150.000,21.766,0.000
290.000,289.000,150.000,21.764,0.000
291.000,290.000,150.000,21.769,0.000
292.000,291.000,150.000,21.772,0.000
293.000,292.000,150.000,21.709,0.000
294.000,293.000,150.000,21.712,0.000
295.000,294.000,150.000,21.772,0.000
296.000,295.000,150.000,21.714,0.000
297.000,296.000,150.000,21.774,0.000
298.000,297.000,150.000,21.717,0.000
299.000,298.000,150.000,21.780,0.000
300.000,299.000,150.000,21.780,0.000
301.000,300.000,150.000,21.783,0.000
302.000,301.000,150.000,21.785,0.000
303.000,302.000,150.000,21.785,0.000
304.000,303.000,150.000,21.780,0.000
305.000,304.000,150.000,21.780,0.000
306.000,305.000,150.000,21.780,0.000
307.000,306.000,150.000,21.714,0.000
308.000,307.000,150.000,21.714,0.000
309.000,308.000,150.000,21.717,0.000
310.000,309.000,150.000,21.777,0.000
311.000,310.000,150.000,21.774,0.000
312.000,311.000,150.000,21.772,0.000
313.000,312.000,150.000,21.709,0.000
314.000,313.000,150.000,21.709,0.000
315.000,314.000,150.000,21.774,0.000
316.000,315.000,150.000,21.714,0.000
317.000,316.000,150.000,21.772,0.000
318.000,317.000,150.000,21.774,0.000
319.000,318.000,150.000,21.774,0.000
320.000,319.000,150.000,21.774,0.000
321.000,320.000,150.000,21.714,0.000
322.000,321.000,150.000,21.714,0.000
323.000,322.000,150.000,21.774,0.000
324.000,323.000,150.000,21.714,0.000
325.000,324.000,150.000,21.712,0.000
326.000,325.000,150.000,21.772,0.000
327.000,326.000,150.000,21.774,0.000
328.000,327.000,150.000,21.772,0.000
329.000,328.000,150.000,21.777,0.000
330.000,329.000,150.000,21.709,0.000
331.000,330.000,150.000,21.717,0.000
332.000,331.000,150.000,21.774,0.000
333.000,332.000,150.000,21.777,0.000
334.000,333.000,150.000,21.777,0.000
335.000,334.000,150.000,21.712,0.000
336.000,335.000,150.000,21.712,0.000
337.000,336.000,150.000,21.712,0.000
338.000,337.000,150.000,21.777,0.000
339.000,338.000,150.000,21.777,0.000
340.000,339.000,150.000,21.774,0.000
341.000,340.000,150.000,21.712,0.000
342.000,341.000,150.000,21.774,0.000
343.000,342.000,150.000,21.714,0.000
344.000,343.000,150.000,21.774,0.000
345.000,344.000,150.000,21.772,0.000
346.000,345.000,150.000,21.780,0.000
347.000,346.000,150.000,21.714,0.000
348.000,347.000,150.000,21.712,0.000
349.000,348.000,150.000,21.780,0.000
350.000,349.000,150.000,21.783,0.000
351.000,350.000,150.000,21.717,0.000
352.000,351.000,150.000,21.717,0.000
353.000,352.000,150.000,21.783,0.000
354.000,353.000,150.000,21.717,0.000
355.000,354.000,150.000,21.783,0.000
356.000,355.000,150.000,21.777,0.000
357.000,356.000,150.000,21.783,0.000
358.000,357.000,150.000,21.783,0.000
359.000,358.000,150.000,21.780,0.000
360.000,359.000,150.000,21.783,0.000
